Model name,input_node,output_node
ShuffleNet0.5-v2,input_1,softmax/Softmax
ShuffleNet0.5-v2,input_1,softmax/Softmax
ShuffleNet0.5-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.0-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet1.5-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
