Model name,input_shape,total_flops,total_params
ResNet-56V2,"(1, 1200, 1200, 3)",545998893364,5175818
ResNet-56V2,"(1, 1600, 1600, 3)",970661325108,8071178
ResNet-56V2,"(1, 1792, 1792, 3)",1217595885876,9699338
ResNet-56V2,"(1, 2400, 2400, 3)",2183979725108,16071178
ResNet-110V2,"(1, 32, 32, 3)",783888150,3323210
ResNet-110V2,"(1, 56, 56, 3)",2373531414,3323210
ResNet-110V2,"(1, 64, 64, 3)",3096176406,3330890
ResNet-110V2,"(1, 75, 75, 3)",4344383942,3330890
ResNet-110V2,"(1, 112, 112, 3)",9454882582,3343690
ResNet-110V2,"(1, 128, 128, 3)",12345329430,3361610
ResNet-110V2,"(1, 150, 150, 3)",17143236694,3361610
ResNet-110V2,"(1, 224, 224, 3)",37780500246,3446090
ResNet-110V2,"(1, 240, 240, 3)",43368337174,3446090
ResNet-110V2,"(1, 256, 256, 3)",49341941526,3484490
ResNet-110V2,"(1, 299, 299, 3)",67691175366,3528010
ResNet-110V2,"(1, 320, 320, 3)",77089400598,3576650
ResNet-110V2,"(1, 331, 331, 3)",82906819014,3576650
ResNet-110V2,"(1, 448, 448, 3)",151082624790,3822410
ResNet-110V2,"(1, 480, 480, 3)",173434744598,3896650
ResNet-110V2,"(1, 568, 568, 3)",242850871062,4060490
ResNet-110V2,"(1, 600, 600, 3)",270983671574,4150090
ResNet-110V2,"(1, 800, 800, 3)",481739845398,4920650
ResNet-110V2,"(1, 896, 896, 3)",604291122966,5327690
ResNet-110V2,"(1, 1024, 1024, 3)",789274183446,5942090
ResNet-110V2,"(1, 1200, 1200, 3)",1083897253654,6825290
ResNet-110V2,"(1, 1600, 1600, 3)",1926920005398,9720650
ResNet-110V2,"(1, 1792, 1792, 3)",2417125115670,11348810
ResNet-110V2,"(1, 2400, 2400, 3)",4335553605398,17720650
ResNet-164V2,"(1, 32, 32, 3)",1172909304,4972682
ResNet-164V2,"(1, 56, 56, 3)",3551460600,4972682
ResNet-164V2,"(1, 64, 64, 3)",4632700152,4980362
ResNet-164V2,"(1, 75, 75, 3)",6500417384,4980362
ResNet-164V2,"(1, 112, 112, 3)",14147038456,4993162
ResNet-164V2,"(1, 128, 128, 3)",18471863544,5011082
ResNet-164V2,"(1, 150, 150, 3)",25650976312,5011082
ResNet-164V2,"(1, 224, 224, 3)",56529562872,5095562
ResNet-164V2,"(1, 240, 240, 3)",64890531064,5095562
ResNet-164V2,"(1, 256, 256, 3)",73828517112,5133962
ResNet-164V2,"(1, 299, 299, 3)",101284078440,5177482
ResNet-164V2,"(1, 320, 320, 3)",115346007288,5226122
ResNet-164V2,"(1, 331, 331, 3)",124050710376,5226122
ResNet-164V2,"(1, 448, 448, 3)",226059314424,5471882
ResNet-164V2,"(1, 480, 480, 3)",259503959288,5546122
ResNet-164V2,"(1, 568, 568, 3)",363369069816,5709962
ResNet-164V2,"(1, 600, 600, 3)",405463151864,5799562
ResNet-164V2,"(1, 800, 800, 3)",720809405688,6570122
ResNet-164V2,"(1, 896, 896, 3)",904178320632,6977162
ResNet-164V2,"(1, 1024, 1024, 3)",1180961588472,7591562
ResNet-164V2,"(1, 1200, 1200, 3)",1621795613944,8474762
ResNet-164V2,"(1, 1600, 1600, 3)",2883178685688,11370122
ResNet-164V2,"(1, 1792, 1792, 3)",3616654345464,12998282
ResNet-164V2,"(1, 2400, 2400, 3)",6487127485688,19370122
ResNext-50,"(1, 32, 32, 3)",226933201,25097137
ResNext-50,"(1, 56, 56, 3)",666861265,25097137
ResNext-50,"(1, 64, 64, 3)",745155025,25097137
ResNext-50,"(1, 75, 75, 3)",1184041745,25097137
ResNext-50,"(1, 112, 112, 3)",2271303121,25097137
ResNext-50,"(1, 128, 128, 3)",2818042321,25097137
ResNext-50,"(1, 150, 150, 3)",4166302801,25097137
ResNext-50,"(1, 224, 224, 3)",8518482385,25097137
ResNext-50,"(1, 240, 240, 3)",9979663825,25097137
ResNext-50,"(1, 256, 256, 3)",11109591505,25097137
ResNext-50,"(1, 299, 299, 3)",15814295313,25097137
ResNext-50,"(1, 320, 320, 3)",17328253393,25097137
ResNext-50,"(1, 331, 331, 3)",19286256401,25097137
ResNext-50,"(1, 448, 448, 3)",33911351761,25097137
ResNext-50,"(1, 480, 480, 3)",38920829393,25097137
ResNext-50,"(1, 568, 568, 3)",55275749073,25097137
ResNext-50,"(1, 600, 600, 3)",61625394897,25097137
ResNext-50,"(1, 800, 800, 3)",108017072593,25097137
ResNext-50,"(1, 896, 896, 3)",135482829265,25097137
ResNext-50,"(1, 1024, 1024, 3)",176940575185,25097137
ResNext-50,"(1, 1200, 1200, 3)",243987789265,25097137
ResNext-50,"(1, 1600, 1600, 3)",431905712593,25097137
ResNext-50,"(1, 1792, 1792, 3)",541768739281,25097137
ResNext-50,"(1, 2400, 2400, 3)",971720112593,25097137
ResNext-101,"(1, 32, 32, 3)",417969273,44315569
ResNext-101,"(1, 56, 56, 3)",1316006265,44315569
ResNext-101,"(1, 64, 64, 3)",1394300025,44315569
ResNext-101,"(1, 75, 75, 3)",2176768441,44315569
ResNext-101,"(1, 112, 112, 3)",4180247673,44315569
ResNext-101,"(1, 128, 128, 3)",5299623033,44315569
ResNext-101,"(1, 150, 150, 3)",8022210297,44315569
ResNext-101,"(1, 224, 224, 3)",16039261305,44315569
ResNext-101,"(1, 240, 240, 3)",18607539321,44315569
ResNext-101,"(1, 256, 256, 3)",20920915065,44315569
ResNext-101,"(1, 299, 299, 3)",29634071993,44315569
ResNext-101,"(1, 320, 320, 3)",32636884089,44315569
ResNext-101,"(1, 331, 331, 3)",36160092601,44315569
ResNext-101,"(1, 448, 448, 3)",63879468153,44315569
ResNext-101,"(1, 480, 480, 3)",73317332089,44315569
ResNext-101,"(1, 568, 568, 3)",104789846393,44315569
ResNext-101,"(1, 600, 600, 3)",116789502329,44315569
ResNext-101,"(1, 800, 800, 3)",203494765689,44315569
ResNext-101,"(1, 896, 896, 3)",255240295545,44315569
ResNext-101,"(1, 1024, 1024, 3)",333346755705,44315569
ResNext-101,"(1, 1200, 1200, 3)",458764682361,44315569
ResNext-101,"(1, 1600, 1600, 3)",813701485689,44315569
ResNext-101,"(1, 1792, 1792, 3)",1020683605113,44315569
