Model_name,Input_shape,nb_layers,nb_conv,nb_bn,nb_fc,nb_pooling,sum_activations,weighted_sum_neurons,fc_multiply,params_conv,params_bn,params_fc,flatten,avg_pooling
Inception-v3,"(1, 331, 331, 3)",313,94,94,1,13,40400595,11770166880,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 448, 448, 3)",313,94,94,1,13,74667384,21881632096,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 480, 480, 3)",313,94,94,1,13,86333816,25371867488,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 568, 568, 3)",313,94,94,1,13,122000872,35676872800,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 600, 600, 3)",313,94,94,1,13,136799336,40098686048,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 800, 800, 3)",313,94,94,1,13,249617016,74484883808,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 896, 896, 3)",313,94,94,1,13,315130488,94257114464,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 1024, 1024, 3)",313,94,94,1,13,414348408,124237348192,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 1200, 1200, 3)",313,94,94,1,13,574120504,172664466272,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 1600, 1600, 3)",313,94,94,1,13,1028657016,310306784608,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 1792, 1792, 3)",313,94,94,1,13,1294454904,390932979040,2048000,21751136,51648,2049000,0,1
Inception-v3,"(1, 2400, 2400, 3)",313,94,94,1,13,2337457016,707613485408,2048000,21751136,51648,2049000,0,1
Xception,"(1, 32, 32, 3)",134,40,40,1,4,620424,495113824,2048000,20752424,109056,2049000,0,1
Xception,"(1, 56, 56, 3)",134,40,40,1,4,2285184,1890024928,2048000,20752424,109056,2049000,0,1
Xception,"(1, 64, 64, 3)",134,40,40,1,4,2671368,2025459552,2048000,20752424,109056,2049000,0,1
Xception,"(1, 75, 75, 3)",134,40,40,1,4,3977579,3131014048,2048000,20752424,109056,2049000,0,1
Xception,"(1, 112, 112, 3)",134,40,40,1,4,8509224,6376076064,2048000,20752424,109056,2049000,0,1
Xception,"(1, 128, 128, 3)",134,40,40,1,4,11102472,8198146912,2048000,20752424,109056,2049000,0,1
Xception,"(1, 150, 150, 3)",134,40,40,1,4,14718004,10642699072,2048000,20752424,109056,2049000,0,1
Xception,"(1, 224, 224, 3)",134,40,40,1,4,34572168,25237167712,2048000,20752424,109056,2049000,0,1
Xception,"(1, 240, 240, 3)",134,40,40,1,4,39861544,29212210976,2048000,20752424,109056,2049000,0,1
Xception,"(1, 256, 256, 3)",134,40,40,1,4,45281544,32991505248,2048000,20752424,109056,2049000,0,1
Xception,"(1, 299, 299, 3)",134,40,40,1,4,62981867,46337947552,2048000,20752424,109056,2049000,0,1
Xception,"(1, 320, 320, 3)",134,40,40,1,4,71029512,51612176224,2048000,20752424,109056,2049000,0,1
Xception,"(1, 331, 331, 3)",134,40,40,1,4,77183339,56659694496,2048000,20752424,109056,2049000,0,1
Xception,"(1, 448, 448, 3)",134,40,40,1,4,139842312,101301501792,2048000,20752424,109056,2049000,0,1
Xception,"(1, 480, 480, 3)",134,40,40,1,4,160653192,116317163104,2048000,20752424,109056,2049000,0,1
Xception,"(1, 568, 568, 3)",134,40,40,1,4,227820160,166242270688,2048000,20752424,109056,2049000,0,1
Xception,"(1, 600, 600, 3)",134,40,40,1,4,254182208,185331607776,2048000,20752424,109056,2049000,0,1
Xception,"(1, 800, 800, 3)",134,40,40,1,4,448130952,323527034464,2048000,20752424,109056,2049000,0,1
Xception,"(1, 896, 896, 3)",134,40,40,1,4,562514184,405917969248,2048000,20752424,109056,2049000,0,1
Xception,"(1, 1024, 1024, 3)",134,40,40,1,4,735228168,530295196512,2048000,20752424,109056,2049000,0,1
Xception,"(1, 1200, 1200, 3)",134,40,40,1,4,1010970664,729522526496,2048000,20752424,109056,2049000,0,1
Xception,"(1, 1600, 1600, 3)",134,40,40,1,4,1798169352,1295384448864,2048000,20752424,109056,2049000,0,1
Xception,"(1, 1792, 1792, 3)",134,40,40,1,4,2256384264,1625102101344,2048000,20752424,109056,2049000,0,1
Xception,"(1, 2400, 2400, 3)",134,40,40,1,4,4050127752,2915574343264,2048000,20752424,109056,2049000,0,1
InceptionResNetV2,"(1, 75, 75, 3)",782,244,204,1,5,2977299,508192352,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 112, 112, 3)",782,244,204,1,5,7737112,1387684704,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 128, 128, 3)",782,244,204,1,5,10662968,1929835872,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 150, 150, 3)",782,244,204,1,5,15496900,2768587136,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 224, 224, 3)",782,244,204,1,5,40731416,7689464160,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 240, 240, 3)",782,244,204,1,5,48234264,9163666272,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 256, 256, 3)",782,244,204,1,5,55115320,10467804512,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 299, 299, 3)",782,244,204,1,5,81201907,15589642848,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 320, 320, 3)",782,244,204,1,5,90424760,17312181600,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 331, 331, 3)",782,244,204,1,5,101099027,19461064288,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 448, 448, 3)",782,244,204,1,5,187210168,36151721312,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 480, 480, 3)",782,244,204,1,5,216857880,41934686560,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 568, 568, 3)",782,244,204,1,5,306442632,59050563680,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 600, 600, 3)",782,244,204,1,5,344077800,66383512672,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 800, 800, 3)",782,244,204,1,5,633264920,123372106080,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 896, 896, 3)",782,244,204,1,5,800707640,156173358432,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 1024, 1024, 3)",782,244,204,1,5,1054492216,205917611360,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 1200, 1200, 3)",782,244,204,1,5,1464040344,286391913312,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 1600, 1600, 3)",782,244,204,1,5,2628270520,514754710880,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 1792, 1792, 3)",782,244,204,1,5,3309862456,648605123936,1536000,54245920,90816,1537000,0,1
InceptionResNetV2,"(1, 2400, 2400, 3)",782,244,204,1,5,5986116120,1174407395680,1536000,54245920,90816,1537000,0,1
MobileNet0.25-v1,"(1, 32, 32, 3)",93,28,27,0,0,97259,6455296,0,464600,10944,0,0,1
